ā	ᴀᴇ'〖拉-小〗(mw)
ē	ᴇᴇ'〖拉-小〗(mw)
ḵ	ᴋᴅᴇ'〖拉-小〗(mw)
ō	ᴏᴇ'〖拉-小〗(mw)
ȯ	ᴏᴀ'〖拉-小〗(mw)
ü	ᴜʙ'〖拉-小〗(mw)
ɪ	ɪɪ;〖拉-大〗(kk)@(dj)@(ipa)
ᴜ	ᴜɪ'〖拉-小〗(kk)
ʊ	ᴡᴋ'〖拉-小〗(dj)@(ipa)
ɔ	ᴄᴋ'@ᴊꜰ'〖拉-小〗(kk)@(dj)@(ipa)
æ	ᴀʜᴇ'〖拉-小〗(kk)@(dj)@(ipa)
ɒ	ᴀǫ'〖拉-小〗(dj)@(ipa)
ɑ	ᴀɪ'〖拉-小〗(kk)@(dj)@(ipa)
ə	ᴇǫ'〖拉-小〗(kk)@(dj)@(mw)@(ipa)
ɚ	ᴇǫᴋ'〖拉-小〗(kk)
ɛ	ᴇɪ'〖拉-小〗(kk)@(dj-old)@(ipa)
ɜ	ᴢɪ'〖拉-小〗(dj)@(ipa)
ɝ	ᴢᴋ'@ᴢʀ'〖拉-小〗(kk)
ʌ	ʟɪ'@ᴠᴋ'〖拉-小〗(kk)@(dj)@(ipa)
θ	ǫɪ'〖拉-小〗【希-小】(kk)@(dj)@(ipa)
ʃ	sꜰ'〖拉-小〗(kk)@(dj)@(ipa)
ð	ᴅꜰx'@ᴅᴛ'@ᴅx'〖拉-小〗(kk)@(dj)@(ipa)
ʒ	ᴢꜰ'〖拉-小〗(kk)@(dj)@(ipa)
ŋ	ɴᴊ'〖拉-小〗(kk)@(dj)@(mw)@(ipa)
ɹ	ʀǫ'〖拉-小〗(ipa)
ʧ	ᴛʜsꜰ'@ᴛsꜰ'〖拉-小〗(kk)@(dj)@(ipa)
ʤ	ᴅʜᴢꜰ'@ᴅᴢꜰ'〖拉-小〗(kk)@(dj)@(ipa)
ː	ᴅꜰᴅꜰ'@ᴅꜰʜᴅꜰ'@ᴅꜰᴋᴅꜰ'@ᴅᴋᴅ'〖拉-小〗(dj)@(ipa)
ˈ	ᴘᴡ'〖拉-小〗(kk)@(mw)@(ipa)
ˌ	ᴅᴘᴡ'@ᴅʏᴡ'@ʏᴡ'〖拉-小〗(kk)@(mw)@(ipa)
´	ᴘᴡ'〖拉-小〗(kk)
ˋ	ɴᴡ'〖拉-小〗(kk)@(ipa)
ˏ	ᴅɴᴡ'@ᴅᴘᴡ'〖拉-小〗(kk)
͵	(KK?)
ˊ	pw'〖拉-小〗(ipa)
ɱ	ᴍᴊ'〖拉-小〗(ipa)
ɳ	ɴᴄ'〖拉-小〗(ipa)
ɲ	ɴᴊ'〖拉-小〗(ipa)
ɴ	ɴɪ;〖拉-大〗(ipa)
ɖ	ᴅᴄ'@ᴅᴛ'〖拉-小〗(ipa)
ɟ	ᴊᴛ'〖拉-小〗(ipa)
ɡ	ɢɪ'〖拉-小〗(ipa)
ɢ	ɢɪ;〖拉-大〗(ipa)
ʡ	ᴊꜰᴋᴛ'@ᴊꜰᴛꜰ'@ᴊꜰʏᴛ'@ᴊʏᴛ'〖拉-小〗(ipa)
ʔ	ᴊꜰᴋ'@ᴊꜰʏ'@ᴊʏ'〖拉-小〗(ipa)
ʂ	sᴄ'〖拉-小〗(ipa)
